file;minutes;volumes;fd_threshold;afni_dof
sub-05_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;45.0
sub-05_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-06_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;25.0
sub-06_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;40.0
sub-06_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;34.0
sub-07_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;19.0
sub-07_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;30.0
sub-07_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;7.0
sub-07_ses-2_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;37.0
sub-08_ses-1_task-MB4_setting-preproc_bold.nii.gz;6;520;0.4;
sub-08_ses-1_task-SB_setting-preproc_bold.nii.gz;6;119;0.4;43.0
sub-08_ses-2_task-MB4_setting-preproc_bold.nii.gz;6;521;0.4;
